,time_hm,agg,time
284,1314,1T,13:14
285,1315,1T,13:15
286,1316,1T,13:16
287,1317,1T,13:17
288,1318,1T,13:18
289,1319,1T,13:19
290,1320,1T,13:20
291,1321,1T,13:21
292,1322,1T,13:22
293,1323,1T,13:23
294,1324,1T,13:24
295,1325,1T,13:25
296,1326,1T,13:26
297,1327,1T,13:27
298,1328,1T,13:28
299,1329,1T,13:29
300,1330,1T,13:30
301,1331,1T,13:31
302,1332,1T,13:32
303,1333,1T,13:33
304,1334,1T,13:34
305,1335,1T,13:35
306,1336,1T,13:36
307,1337,1T,13:37
308,1338,1T,13:38
309,1339,1T,13:39
310,1340,1T,13:40
311,1341,1T,13:41
312,1342,1T,13:42
313,1343,1T,13:43
314,1344,1T,13:44
315,1345,1T,13:45
316,1346,1T,13:46
317,1347,1T,13:47
318,1348,1T,13:48
319,1349,1T,13:49
320,1350,1T,13:50
321,1351,1T,13:51
322,1352,1T,13:52
323,1353,1T,13:53
324,1354,1T,13:54
325,1355,1T,13:55
326,1356,1T,13:56
327,1357,1T,13:57
328,1358,1T,13:58
329,1359,1T,13:59
330,1400,1T,14:00
331,1401,1T,14:01
332,1402,1T,14:02
333,1403,1T,14:03
334,1404,1T,14:04
335,1405,1T,14:05
336,1406,1T,14:06
337,1407,1T,14:07
338,1408,1T,14:08
339,1409,1T,14:09
340,1410,1T,14:10
341,1411,1T,14:11
342,1412,1T,14:12
343,1413,1T,14:13
344,1414,1T,14:14
345,1415,1T,14:15
346,1416,1T,14:16
347,1417,1T,14:17
348,1418,1T,14:18
349,1419,1T,14:19
350,1420,1T,14:20
351,1421,1T,14:21
352,1422,1T,14:22
353,1423,1T,14:23
354,1424,1T,14:24
355,1425,1T,14:25
356,1426,1T,14:26
357,1427,1T,14:27
358,1428,1T,14:28
359,1429,1T,14:29
360,1430,1T,14:30
361,1431,1T,14:31
362,1432,1T,14:32
363,1433,1T,14:33
364,1434,1T,14:34
365,1435,1T,14:35
366,1436,1T,14:36
367,1437,1T,14:37
368,1438,1T,14:38
369,1439,1T,14:39
370,1440,1T,14:40
371,1441,1T,14:41
372,1442,1T,14:42
373,1443,1T,14:43
374,1444,1T,14:44
375,1445,1T,14:45
376,1446,1T,14:46
377,1447,1T,14:47
378,1448,1T,14:48
379,1449,1T,14:49
380,1450,1T,14:50
381,1451,1T,14:51
382,1452,1T,14:52
383,1453,1T,14:53
384,1454,1T,14:54
385,1455,1T,14:55
386,1456,1T,14:56
387,1457,1T,14:57
388,1458,1T,14:58
389,1459,1T,14:59
